ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,108.65915728752853,31.122501414583656,183.41515297690913,108.65915728752853,108.65915728752853,2.184530501272942,2.184530501272942,2.184530501272942,2.184530501272942,2.184530501272942,2.184530501272942,0.0,0.0,0.0,110.84368778880147
2018-09-01,108.28484253052953,47.2776929209213,191.79782256795346,108.28484253052953,108.28484253052953,11.056371122674124,11.056371122674124,11.056371122674124,11.056371122674124,11.056371122674124,11.056371122674124,0.0,0.0,0.0,119.34121365320365
2018-10-01,107.92260244311117,21.922938321440583,169.91373476312845,107.92260244311117,107.92260244311117,-9.548209538218854,-9.548209538218854,-9.548209538218854,-9.548209538218854,-9.548209538218854,-9.548209538218854,0.0,0.0,0.0,98.37439290489232
2018-11-01,107.54828765687408,33.06554934587812,180.15724067424813,107.54828765687408,107.54828765687408,-0.3830110367169298,-0.3830110367169298,-0.3830110367169298,-0.3830110367169298,-0.3830110367169298,-0.3830110367169298,0.0,0.0,0.0,107.16527662015714
2018-12-01,107.18604754116078,-45.71846031594476,107.39315859686698,107.18604754116078,107.18604754116078,-76.90129462860186,-76.90129462860186,-76.90129462860186,-76.90129462860186,-76.90129462860186,-76.90129462860186,0.0,0.0,0.0,30.284752912558915
2019-01-01,106.81173275492371,77.34634130695754,227.8793682510773,106.81173275492371,106.81173275492371,42.173761630001025,42.173761630001025,42.173761630001025,42.173761630001025,42.173761630001025,42.173761630001025,0.0,0.0,0.0,148.98549438492472
2019-02-01,106.4374179686866,57.80111366238759,208.2241075436444,106.4374179686866,106.4374179686866,25.070652759271994,25.070652759271994,25.070652759271994,25.070652759271994,25.070652759271994,25.070652759271994,0.0,0.0,0.0,131.5080707279586
2019-03-01,106.09932719960267,44.99970388387553,197.14620100731207,106.09932719960267,106.09932719960267,16.45790178624832,16.45790178624832,16.45790178624832,16.45790178624832,16.45790178624832,16.45790178624832,0.0,0.0,0.0,122.557228985851
2019-04-01,105.72501241954546,21.840149895583096,179.07027907037056,105.72501241954546,105.72501241954546,-3.321839982334095,-3.321839982334095,-3.321839982334095,-3.321839982334095,-3.321839982334095,-3.321839982334095,0.0,0.0,0.0,102.40317243721137
2019-05-01,105.36277230981267,24.8632537356198,175.73566076109105,105.36277230981267,105.36277230981267,-7.386805612931434,-7.386805612931434,-7.386805612931434,-7.386805612931434,-7.386805612931434,-7.386805612931434,0.0,0.0,0.0,97.97596669688123
